id_venda,cliente,produto,data_venda,preco,quantidade
109,Shannon Phillips,Mouse,2022-09-17,198.29,4
110,Jessica Jones,Roteador,2020-10-03,368.08,4
111,Kyle Randolph,Mouse,2022-05-28,147.65,3
112,Taylor Flores,Teclado,2021-06-15,379.47,1
113,Summer Hernandez,Celular,2020-04-19,1973.07,4
114,Lynn Washington,Monitor,2023-12-17,1420.9,2
115,Matthew Andrews,Câmera,2022-04-20,2488.12,1
116,Kaitlyn Thornton,Mouse,2020-05-01,98.55,3
117,Stephen Cobb,Teclado,2020-07-10,290.51,3
118,Michael Stevens,Fone de Ouvido,2023-02-13,238.2,4
119,David Powell,Tablet,2022-03-02,2306.22,2
120,Heather Garcia,Monitor,2021-11-19,1865.25,3
121,Tina Rollins,Tablet,2021-11-23,1629.17,3
122,Katie Green,Fone de Ouvido,2022-01-06,229.47,2
123,James Kelley,Mouse,2021-05-25,103.74,3
124,Ryan Murray,Câmera,2020-08-06,3779.6,3
125,Charlene Thomas,Teclado,2023-06-30,370.03,2
126,Tiffany Lee,Celular,2021-01-01,1907.5,1
127,Colin Walker,Roteador,2022-01-31,524.61,3
128,Joseph Zavala,Monitor,2021-09-05,840.78,1
129,Sara Vazquez,Roteador,2020-11-09,462.86,2
130,Patricia Perez,Tablet,2020-07-31,2238.04,3
131,Kathryn Johnson,Laptop,2021-11-14,3186.87,3
132,Jennifer Castillo,Câmera,2021-08-03,4138.33,2
133,Robert Edwards,Impressora,2020-11-23,1041.3,1
134,Joseph Smith,Monitor,2021-04-20,886.66,1
135,Kimberly Levy,Câmera,2023-07-23,1861.81,4
136,Amanda Perry,Monitor,2023-09-27,1598.98,4
137,Stephanie White,Celular,2020-11-09,1286.05,4
138,Mary Gutierrez,Celular,2023-07-18,1823.57,3
139,Wayne Chen,Laptop,2023-11-15,3661.71,3
140,Robert Bridges,Tablet,2023-07-02,1964.11,2
141,Ana Frost,Teclado,2020-12-04,367.33,4
142,Jacqueline Garrett,Fone de Ouvido,2023-04-13,168.35,4
143,Cynthia Moss,Tablet,2022-09-08,1115.33,2
144,Jennifer Hunt,Teclado,2021-05-10,124.21,1
145,Jordan Fowler,Câmera,2022-07-22,2931.54,2
146,Tracy Anderson,Fone de Ouvido,2020-04-29,282.49,3
147,Valerie Williams,Roteador,2023-09-23,281.46,2
148,Chad Torres,Celular,2020-01-05,2153.19,1
149,Shannon Holland,Tablet,2021-04-01,963.16,3
150,Christopher Miller,Celular,2021-06-14,1541.47,3
151,Robert Underwood,Roteador,2023-08-12,355.62,1
152,Juan Espinoza,Tablet,2021-06-25,2007.47,3
153,Kenneth Lopez,Câmera,2023-05-10,3802.51,3
154,Samantha Browning,Teclado,2021-05-29,326.16,4
155,Melanie Drake,Mouse,2022-11-19,129.43,3
156,Christine Mccormick,Roteador,2021-02-03,401.44,4
157,Anthony Espinoza,Monitor,2022-03-14,880.06,5
158,Michael Ward,Mouse,2022-06-16,104.37,2
159,James Steele,Tablet,2021-12-25,1209.21,1
160,Stephanie Velez,Câmera,2021-03-10,4505.44,3
161,James Petersen,Fone de Ouvido,2020-05-27,61.71,5
162,Tanya Smith,Tablet,2023-10-24,1415.16,2
163,Jennifer Curtis,Câmera,2023-09-22,4788.55,4
164,Tiffany Estrada,Tablet,2021-09-17,1929.44,5
165,Anna Orozco,Fone de Ouvido,2023-08-26,159.77,2
166,Alicia Pace,Fone de Ouvido,2021-03-22,239.53,1
167,Diana Bowman MD,Laptop,2020-03-09,1820.48,3
168,William Zavala,Roteador,2021-08-02,516.07,3
169,Mandy Todd,Teclado,2020-10-13,143.67,4
170,Stacie Diaz,Impressora,2021-10-31,568.79,5
171,Lauren Guerrero,Impressora,2020-04-04,714.31,5
172,Tamara Shaffer,Câmera,2021-11-08,2871.84,3
173,Denise Bennett,Celular,2020-09-10,934.36,4
174,Robert Pearson,Câmera,2023-01-29,4685.96,4
175,David Fisher,Monitor,2021-01-31,1949.4,1
176,Bradley Manning,Fone de Ouvido,2020-04-05,167.36,3
177,Ms. Alicia Stevens,Câmera,2023-10-24,4536.41,4
178,Daniel Whitney,Teclado,2022-08-22,204.26,2
179,Sarah Simpson,Teclado,2023-09-21,208.12,2
180,Grant Miranda,Fone de Ouvido,2022-06-25,54.34,1
181,Stephanie Patel,Laptop,2022-08-21,2833.64,5
182,Sylvia Lawson,Monitor,2020-04-04,1923.82,4
183,Jessica Brown,Celular,2023-02-06,1369.28,3
184,Earl Barnes,Impressora,2022-07-20,1085.77,1
185,Nicole Roth,Fone de Ouvido,2023-12-21,114.51,3
186,Kristine Tran,Monitor,2021-09-13,1603.15,5
187,Margaret Dudley,Impressora,2020-07-09,599.8,3
188,Theresa Hogan,Impressora,2020-12-23,879.98,3
189,Jackie Horn,Fone de Ouvido,2022-05-25,189.43,4
190,Mrs. Sherry Mullins MD,Laptop,2022-08-15,3513.09,2
191,Laurie Velazquez,Roteador,2023-06-27,304.35,2
192,Keith Cabrera,Mouse,2020-04-26,188.15,2
193,Kathryn Cook,Fone de Ouvido,2020-04-10,135.81,2
194,Wayne Bullock,Celular,2022-08-15,998.8,3
195,Michele Cox DVM,Impressora,2020-03-06,544.0,4
196,Sonya Clements,Roteador,2023-04-14,377.98,4
197,George Anderson,Impressora,2021-09-08,393.79,5
198,Raymond Moore,Câmera,2023-01-06,4904.03,2
199,Jorge Hammond,Celular,2020-09-06,2420.22,2
200,Jennifer Jenkins,Tablet,2022-10-06,2232.17,5
201,Joseph Esparza,Impressora,2021-04-12,721.7,5
202,April Gonzalez,Teclado,2023-08-04,387.68,2
203,Christopher White,Mouse,2023-05-27,189.47,3
204,Kyle Hernandez,Laptop,2020-03-01,1677.3,4
205,Samantha Richardson,Fone de Ouvido,2020-07-29,270.2,5
206,Thomas Faulkner,Mouse,2020-11-02,103.03,1
207,Natasha Wilkinson MD,Tablet,2022-12-18,927.29,4
208,Brad Frazier,Laptop,2021-01-16,2745.35,1
209,Shelby Thompson,Tablet,2023-02-24,1052.52,2
210,Stephanie Griffin,Tablet,2023-03-20,971.19,4
211,Christopher Green,Mouse,2023-07-14,72.64,3
212,Kevin Pearson,Impressora,2021-03-31,1057.95,5
213,Lori Garcia,Câmera,2020-01-28,3760.54,5
214,Isaiah Kelly,Teclado,2022-09-14,192.9,2
215,Gary Hubbard,Laptop,2023-11-27,2353.23,3
216,Nathan Wu,Impressora,2021-05-29,379.04,1
217,Jacob Wright,Teclado,2023-05-12,151.72,3
218,Elizabeth Tran,Câmera,2022-07-24,1431.18,1
219,Shannon Anderson,Fone de Ouvido,2022-11-26,100.81,4
220,Joshua Fernandez,Tablet,2021-06-14,1127.25,5
221,Amanda Blake,Fone de Ouvido,2020-11-13,269.3,4
222,David Smith,Roteador,2023-06-06,502.41,3
223,Crystal Cook,Roteador,2020-01-16,484.75,3
224,Michael Fry,Roteador,2023-06-05,193.99,1
225,Amanda Cox,Câmera,2020-05-29,1515.91,4
226,Robert Vargas,Monitor,2022-08-28,1979.53,1
227,Richard Evans,Fone de Ouvido,2022-02-20,203.35,2
228,Willie Hudson,Câmera,2022-11-13,1657.24,1
229,Laura Cummings,Câmera,2022-04-07,4238.43,5
230,Benjamin Chaney,Fone de Ouvido,2020-11-07,193.35,4
231,Christopher Thompson,Mouse,2022-07-02,192.33,4
232,Michelle Dean,Laptop,2021-07-02,2618.22,3
233,Kelly Moses,Impressora,2022-06-06,533.87,2
234,Amber Smith,Teclado,2023-06-08,164.14,3
235,Gabriel Bailey,Fone de Ouvido,2023-03-12,182.7,1
236,Tanya Rojas,Teclado,2020-11-26,302.68,4
237,Donna Ritter,Laptop,2021-08-07,3260.77,4
238,Alexander Pugh,Monitor,2022-05-21,1972.38,2
239,Sylvia Park,Celular,2020-06-06,1021.31,1
240,Benjamin Johnson,Câmera,2020-09-14,4136.43,5
241,Donna Suarez,Impressora,2023-09-03,989.93,3
242,Carl Wagner,Teclado,2021-07-21,361.67,1
243,Ashley Lang,Celular,2021-09-11,1725.57,4
244,David Rhodes,Mouse,2020-01-25,175.99,3
245,Derrick Smith,Celular,2021-07-06,901.58,3
246,Roberto Carroll,Monitor,2023-07-22,1520.17,3
247,Lisa Vasquez,Monitor,2023-01-14,956.35,5
248,Micheal Weeks,Monitor,2022-07-08,626.5,1
249,Cameron Martinez,Impressora,2022-08-31,1187.93,4
250,Michael Rose,Tablet,2023-09-05,2460.6,3
251,Michael Gutierrez,Fone de Ouvido,2022-10-14,173.02,2
252,Adrienne Harris,Monitor,2022-11-07,1167.18,2
253,Jessica Johnson,Mouse,2022-07-18,151.27,4
254,Michael Wells,Mouse,2020-02-02,158.88,3
255,Rebecca Hayes,Laptop,2022-06-20,2340.23,4
256,Jennifer Marsh,Câmera,2023-05-29,4843.1,1
257,Emily Mcmahon,Tablet,2021-01-18,2161.77,3
258,Ashley Harvey,Roteador,2021-11-01,520.56,1
259,Kimberly Ellison,Roteador,2023-10-25,538.27,3
260,Kent Stevens,Monitor,2023-03-12,1141.87,2
261,Shawna Sosa,Monitor,2023-02-16,1283.39,4
262,Alexander Peterson,Roteador,2020-03-05,137.63,1
263,Marie Hammond DVM,Roteador,2021-02-28,169.82,5
264,Anne Gordon,Fone de Ouvido,2022-12-18,213.17,1
265,Veronica Evans,Celular,2023-04-18,979.91,1
266,Juan Mitchell,Fone de Ouvido,2023-07-03,215.21,1
267,Marie Walton,Celular,2020-08-06,2434.69,2
268,Ashley King,Celular,2021-11-21,941.25,2
269,Rebecca Perez,Monitor,2023-02-14,1562.71,5
270,James Carter,Monitor,2023-05-28,1407.41,2
271,Angela Cantrell,Roteador,2022-07-08,598.11,5
272,Ethan Miller,Fone de Ouvido,2020-11-28,139.9,4
273,Jesus Thompson,Roteador,2020-10-25,314.3,1
274,Eric White,Roteador,2021-04-10,256.02,5
275,Gina Pratt,Roteador,2023-05-01,514.65,2
276,Rebecca Henry,Monitor,2023-05-17,1503.93,2
277,Cameron Smith,Fone de Ouvido,2020-11-22,109.16,5
278,Michael Rios,Câmera,2021-11-24,1556.33,2
279,Jessica Fowler,Laptop,2022-04-04,3961.61,3
280,Nichole Miller,Tablet,2020-01-09,2090.54,2
281,Deborah Williams,Laptop,2023-03-12,3792.88,2
282,Sarah Charles,Impressora,2020-11-15,550.29,5
283,Kimberly Obrien,Tablet,2022-10-26,2495.38,1
284,Bailey Moore,Tablet,2023-04-11,1388.82,3
285,Jonathan Kennedy,Teclado,2020-12-03,212.12,4
286,Wendy Cooper,Impressora,2022-06-03,324.96,3
287,Richard Rodriguez,Fone de Ouvido,2022-10-02,236.33,2
288,Frank Gill,Celular,2022-08-13,1663.93,5
289,Autumn Newman,Monitor,2021-06-02,1291.78,2
290,Michael Walker,Roteador,2022-02-24,317.98,4
291,Mitchell Gutierrez,Celular,2022-07-15,2024.3,2
292,Jennifer Perkins,Monitor,2023-02-05,875.07,5
293,Courtney Ellis,Celular,2021-06-09,1168.41,4
294,Kenneth Frazier,Mouse,2020-12-03,61.42,5
295,Bryan Hicks,Laptop,2020-06-26,3753.65,5
296,Travis Cole,Roteador,2023-08-22,564.17,3
297,Steven Fields,Fone de Ouvido,2021-04-11,187.0,4
298,Larry Sanchez,Tablet,2020-03-05,1765.21,4
299,James Hurst,Roteador,2021-08-21,207.55,2
300,Steven Ruiz,Teclado,2021-12-02,204.3,5
301,Margaret Perez,Mouse,2022-12-03,88.21,4
302,Wesley Melton,Impressora,2022-06-06,502.85,4
303,Monica Wheeler,Roteador,2022-06-21,207.32,3
304,Tim Woodard,Câmera,2021-06-13,4546.1,1
305,Michael Mccoy,Celular,2023-06-19,2316.4,3
306,Tracy Parks,Teclado,2021-01-24,124.41,4
307,Rachael Gallagher,Impressora,2023-04-15,715.25,3
308,James Wells,Monitor,2020-09-13,1002.92,3
309,Sandra Caldwell,Impressora,2023-09-27,760.01,4
310,Stephanie Kirby,Fone de Ouvido,2020-12-11,176.65,3
311,Michelle Douglas,Impressora,2021-09-12,1058.26,4
312,Carol Mitchell,Fone de Ouvido,2023-01-09,101.02,3
313,Margaret Delacruz,Roteador,2022-04-18,459.35,3
314,Janice Simpson,Laptop,2020-10-28,2625.69,3
315,Julian Campbell,Monitor,2021-05-07,1962.65,1
316,Marie Mueller,Roteador,2022-06-07,439.19,4
317,Tina Young,Roteador,2021-11-19,528.52,2
318,Margaret Morris,Fone de Ouvido,2021-01-08,189.64,4
319,Jacob Ross,Celular,2020-11-22,2472.02,1
320,William Francis,Câmera,2022-06-22,3804.54,5
321,Tamara Lowery,Teclado,2021-06-08,374.29,4
322,Becky Garcia,Celular,2021-05-06,1672.68,3
323,Olivia Daniels,Roteador,2020-04-15,346.5,5
324,Nancy Williams,Impressora,2020-02-08,1063.22,2
325,Kathryn Morrison DDS,Laptop,2022-12-08,2752.39,5
326,Corey Greer,Celular,2023-05-13,1369.51,1
327,Mariah Hawkins,Câmera,2023-12-13,3228.23,2
328,Mr. Corey Perez,Monitor,2021-01-21,1359.75,4
329,Michael Price,Roteador,2021-06-01,201.65,1
330,Darrell Shea,Tablet,2023-07-14,808.83,3
331,Daniel Montgomery,Impressora,2021-11-08,408.63,1
332,Justin Long,Mouse,2020-12-30,180.97,4
333,Frederick Gutierrez,Impressora,2023-04-04,753.8,3
334,Samuel Simmons MD,Roteador,2023-04-07,555.79,3
335,Tina Mckee,Monitor,2022-06-26,1511.05,2
336,Nicole Pham,Roteador,2021-06-01,339.95,1
337,Amy Smith,Celular,2022-06-27,2204.81,2
338,Nathan Whitehead,Monitor,2020-04-20,620.22,5
339,Kathleen Reed,Teclado,2023-01-16,194.8,5
340,Kristina Chang,Teclado,2022-07-28,351.69,5
341,Andrea Chavez,Mouse,2021-12-20,144.38,2
342,Angel Kelly,Câmera,2021-05-31,3740.55,3
343,Yolanda Anderson,Câmera,2023-01-19,4165.86,1
344,Krista Chang,Laptop,2020-08-07,2360.65,4
345,Nicholas Pierce II,Teclado,2022-07-06,109.56,1
346,Kelli Williams,Mouse,2020-02-02,102.57,2
347,Andrew Edwards,Impressora,2021-06-12,933.29,3
348,Duane Richardson,Câmera,2021-03-21,3020.81,2
349,Sean Johnson,Câmera,2021-05-16,4203.02,4
350,Glenn Spencer,Mouse,2022-07-27,169.33,1
351,Theresa Myers,Fone de Ouvido,2020-08-03,53.46,1
352,Brittany Stephens,Celular,2021-05-27,1986.63,1
353,Scott Joseph,Tablet,2022-02-11,892.34,3
354,Patricia Lawrence,Roteador,2022-01-06,269.12,3
355,Catherine Henry,Impressora,2021-05-07,456.05,2
356,Wesley Vance,Celular,2022-11-07,1721.21,1
357,Jessica Garcia,Câmera,2022-04-26,2666.99,4
358,Carla Fernandez,Celular,2020-09-17,1404.51,1
359,Taylor Fletcher,Fone de Ouvido,2020-11-25,134.32,4
360,Charles Dunn,Câmera,2020-11-24,3922.22,5
361,Daniel Stevenson,Monitor,2022-03-08,1536.72,4
362,Jeremy Robinson,Mouse,2020-06-29,178.73,2
363,Victor Vargas,Monitor,2021-12-26,650.42,2
364,Dr. Angela Lucero,Mouse,2023-10-06,57.92,3
365,Christopher Ayala,Monitor,2022-05-18,1924.93,2
366,Jill Smith,Monitor,2022-03-02,1909.16,4
367,Tina Johnson,Tablet,2020-01-15,2191.58,3
368,David Williams,Fone de Ouvido,2021-06-28,97.32,2
369,Jack Jones,Câmera,2021-09-06,1061.96,1
370,Jeffrey Smith,Tablet,2020-10-06,886.14,3
371,Michael Gamble,Mouse,2022-12-19,198.78,3
372,Laurie Horton,Fone de Ouvido,2021-08-22,121.65,5
373,Thomas Lambert,Celular,2023-05-05,1673.27,3
374,Margaret Knight,Celular,2021-04-28,1117.79,3
375,Mr. John Bishop,Fone de Ouvido,2020-12-19,214.55,5
376,George Sherman,Impressora,2023-01-13,741.11,1
377,Molly Campbell,Mouse,2020-03-23,82.89,4
378,Jason Alexander,Celular,2020-03-12,2402.98,1
379,Paige Martinez,Laptop,2020-03-17,1660.07,3
380,Mrs. Brittany Smith,Impressora,2022-09-05,345.14,2
381,Nathaniel Simmons,Teclado,2023-03-21,328.95,4
382,Jonathan Smith,Câmera,2022-04-13,4711.68,2
383,Daniel Castillo,Celular,2023-12-03,2286.89,1
384,Angel Marquez,Celular,2021-01-14,1208.88,2
385,Christine Carpenter,Celular,2020-07-16,1324.18,3
386,Alexandra Jones,Celular,2022-11-14,2417.8,3
387,Bridget Murray,Teclado,2020-04-02,362.12,1
388,Sara Butler,Celular,2022-08-29,1568.73,4
389,Patricia Wiley,Celular,2020-08-07,2222.14,5
390,Greg Wade,Celular,2023-10-23,995.85,2
391,Cassandra Bryant,Roteador,2022-09-17,124.66,2
392,Aimee Williams,Câmera,2023-03-08,2246.22,1
393,Joseph Garcia,Câmera,2022-11-30,3163.68,1
394,Colin Mckinney,Tablet,2022-05-06,765.51,2
395,Hayley Dominguez,Mouse,2023-04-12,50.04,3
396,Mark Wright,Mouse,2022-03-18,188.56,5
397,Katherine Lewis,Celular,2023-06-20,2094.61,4
398,Ronald Jackson,Fone de Ouvido,2020-01-10,76.18,4
399,Jacqueline Hernandez,Roteador,2022-08-01,346.76,1
400,Taylor Robinson,Câmera,2022-05-24,2315.25,4
401,Shannon Petersen,Teclado,2020-03-26,232.5,4
402,Megan Figueroa DDS,Celular,2022-01-14,2117.48,2
403,Timothy Cochran,Fone de Ouvido,2021-05-24,168.98,2
404,Ashley Johnson,Celular,2022-02-23,2248.03,4
405,David Wright,Laptop,2022-01-22,3747.07,3
406,Morgan Hayes,Monitor,2020-03-06,1406.72,2
407,Shawn Nunez,Celular,2022-12-09,2250.05,5
408,Cassandra Smith,Monitor,2022-01-07,1398.66,1
409,Mary Ford,Impressora,2020-11-13,1181.98,4
410,Michele Hill,Tablet,2020-05-28,2135.82,4
411,Jill Martinez,Laptop,2022-04-26,2396.17,2
412,Shane Summers,Laptop,2020-12-18,3649.44,3
413,Lucas Graham,Mouse,2022-03-31,110.61,3
414,Denise Nash,Mouse,2021-10-07,195.82,4
415,Matthew Vincent,Câmera,2020-12-19,1829.79,1
416,Mary Wallace,Impressora,2021-05-10,317.27,1
417,Heather Smith,Mouse,2021-05-19,72.88,5
418,Walter Anderson,Câmera,2020-10-24,4263.16,3
419,Kristine Walters,Tablet,2022-11-02,2465.88,1
420,Patrick Rodriguez,Câmera,2022-08-03,1748.77,4
421,Lori Garza,Monitor,2021-06-24,1785.22,1
422,Matthew Lara,Mouse,2023-12-18,186.99,4
423,Anthony Everett,Teclado,2021-06-14,241.68,2
424,Garrett Duncan,Monitor,2022-08-09,1855.77,1
425,Julie Davis,Câmera,2020-12-22,1593.5,2
426,Carmen Ellison,Teclado,2022-08-07,305.76,5
427,Tina Fisher,Roteador,2021-05-08,114.97,4
428,Ronnie Beck MD,Teclado,2023-12-22,227.14,3
429,Kevin Scott,Mouse,2023-03-18,78.79,2
430,Anthony Hoffman,Câmera,2023-04-09,2469.24,1
431,Trevor Smith,Laptop,2023-01-15,2774.39,4
432,John Davis,Roteador,2023-12-04,407.03,1
433,Bryan Vazquez,Tablet,2021-10-26,1343.69,2
434,Alicia Henderson,Tablet,2022-05-06,649.49,3
435,Elizabeth Gregory,Roteador,2023-04-28,202.89,1
436,Charles Glenn,Laptop,2022-02-02,3392.32,3
437,Aimee Wolfe MD,Teclado,2021-10-24,291.92,3
438,Lauren French,Impressora,2023-12-19,784.65,3
439,Brian Sandoval Jr.,Teclado,2022-02-11,309.65,3
440,Shelly Williams,Teclado,2020-08-09,109.5,5
441,Michael Chambers,Monitor,2020-06-15,1391.22,1
442,William Barton,Fone de Ouvido,2021-12-13,82.85,2
443,Michael Reeves,Impressora,2021-12-14,804.1,1
444,Jessica Dalton,Teclado,2023-07-01,336.83,4
445,Rebecca Warren,Impressora,2021-08-13,1040.96,3
446,Nicole Smith,Impressora,2020-04-02,632.57,2
447,Elizabeth Lane,Monitor,2023-05-26,1651.3,1
448,Kyle Hayden,Impressora,2020-06-11,1128.03,4
449,Zachary Luna,Monitor,2021-08-29,1899.45,5
450,Hannah Grant,Impressora,2023-05-23,522.26,3
451,Debbie Oconnell,Roteador,2023-04-07,156.51,5
452,Stephanie Cervantes,Teclado,2023-03-22,156.1,1
453,Cody Montes,Laptop,2023-11-26,3462.76,4
454,Brandon Peterson,Impressora,2023-04-10,863.65,5
455,Dale Garrett,Impressora,2023-10-19,353.53,3
456,James Dennis,Celular,2023-01-26,1788.68,3
457,Glenda Malone,Laptop,2021-09-05,2795.37,4
458,Jeffrey Ross,Fone de Ouvido,2020-04-08,276.65,1
459,Mr. Christopher Tyler PhD,Celular,2021-09-08,1486.28,5
460,John Vaughn,Roteador,2022-12-31,470.95,4
461,Michael Williams,Mouse,2022-11-03,186.35,4
462,Curtis Woods,Laptop,2020-02-29,3546.61,2
463,James Torres,Roteador,2023-02-28,328.35,3
464,Joseph Brown,Impressora,2020-05-14,442.02,2
465,Cheryl Sims DDS,Laptop,2020-04-21,2206.22,1
466,Ms. Pamela Coffey,Câmera,2020-08-25,3992.7,3
467,Janice Ortega,Celular,2021-07-08,1614.68,3
468,Carrie Pena,Tablet,2021-12-28,1562.72,4
469,Robert Brown,Laptop,2020-03-22,1635.48,1
470,Jon Rodriguez,Impressora,2023-05-04,560.01,1
471,Diana Rivas,Roteador,2020-05-20,300.06,5
472,Lee Morris,Mouse,2021-11-23,66.91,1
473,Joseph Norris,Teclado,2020-02-20,275.52,3
474,Lisa Taylor,Tablet,2021-05-03,1943.79,1
